gt_id,report_id,metric_id,industry,sub_industry,gt_disclosure_status,gt_value,gt_page
gt_000001,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_0_Percentage_of_vehicle_models_rated_by_NCAP_with_an,Transportation,Automobiles,fully_disclosed,85(Euro) 100(China) 33(US) 100(Korea),12
gt_000002,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_1_1_Number_of_safety-related_defect_complaints_,Transportation,Automobiles,not_disclosed,,
gt_000003,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_2_2_percentage_investigated,Transportation,Automobiles,not_disclosed,,
gt_000004,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_3_Number_of_vehicles_recalled_1,Transportation,Automobiles,not_disclosed,,
gt_000005,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_4_Percentage_of_active_workforce_employed_under_coll,Transportation,Automobiles,fully_disclosed,78,10
gt_000006,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_5_1_Number_of_work_stoppages_,Transportation,Automobiles,fully_disclosed,0,10
gt_000007,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_6_2_total_days_idle_2,Transportation,Automobiles,fully_disclosed,0,10
gt_000008,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_7_Sales-weighted_average_passenger_fleet_fuel_econom,Transportation,Automobiles,not_disclosed,,
gt_000009,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_8_Number_of_1_zero_emission_vehicles_ZEV,Transportation,Automobiles,not_disclosed,,
gt_000010,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_9_Number_of_2_hybrid_vehicles,Transportation,Automobiles,not_disclosed,,
gt_000011,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_10_Number_of3_plug-in_hybrid_vehicles_sold,Transportation,Automobiles,fully_disclosed,166614,5
gt_000012,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_11_Discussion_of_strategy_for_managing_fleet_fuel_eco,Transportation,Automobiles,partially_disclosed,,18
gt_000013,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_12_Description_of_the_management_of_risks_associated_,Transportation,Automobiles,partially_disclosed,,18
gt_000014,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_13_1_Total_amount_of_waste_from_manufacturing,Transportation,Automobiles,fully_disclosed,872976,7
gt_000015,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_14__2_percentage_recycled_of_waste,Transportation,Automobiles,fully_disclosed,85,7
gt_000016,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_15_1_Weight_of_end-of-life_material_recovered_,Transportation,Automobiles,not_disclosed,,
gt_000017,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_16_2_percentage_recycled_of_end-of-life_material,Transportation,Automobiles,not_disclosed,,
gt_000018,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_17_Average_recyclability_of_vehicles_sold_3,Transportation,Automobiles,not_disclosed,,
gt_000019,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_18_Number_of_vehicles_manufactured,Transportation,Automobiles,not_disclosed,,
gt_000020,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,sasb_19_Number_of_vehicles_sold,Transportation,Automobiles,not_disclosed,,
gt_000021,897a33de-edbe-45aa-a425-31297df747c4,sasb_0_Gross_global_Scope_1_emissions,Transportation,Airlines,fully_disclosed,11456418,88
gt_000022,897a33de-edbe-45aa-a425-31297df747c4,sasb_1_Discussion_of_long-_and_short-term_strategy_or_pla,Transportation,Airlines,partially_disclosed,,43
gt_000023,897a33de-edbe-45aa-a425-31297df747c4,sasb_2_1_Total_fuel_consumed,Transportation,Airlines,not_disclosed,,
gt_000024,897a33de-edbe-45aa-a425-31297df747c4,sasb_3_2_Percentage_of_fuel_from_alternative_sources,Transportation,Airlines,not_disclosed,,
gt_000025,897a33de-edbe-45aa-a425-31297df747c4,sasb_4_3_Percentage_of_fuel_from_sustainable_sources,Transportation,Airlines,not_disclosed,,
gt_000026,897a33de-edbe-45aa-a425-31297df747c4,sasb_5_Percentage_of_active_workforce_employed_under_coll,Transportation,Airlines,fully_disclosed,81,87
gt_000027,897a33de-edbe-45aa-a425-31297df747c4,sasb_6_1_Number_of_work_stoppages,Transportation,Airlines,not_disclosed,,
gt_000028,897a33de-edbe-45aa-a425-31297df747c4,sasb_7_2_Total_days_idle,Transportation,Airlines,not_disclosed,,
gt_000029,897a33de-edbe-45aa-a425-31297df747c4,sasb_8_Total_amount_of_monetary_losses_as_a_result_of_leg,Transportation,Airlines,not_disclosed,,
gt_000030,897a33de-edbe-45aa-a425-31297df747c4,sasb_9_Description_of_implementation_and_outcomes_of_a_Sa,Transportation,Airlines,partially_disclosed,,55
gt_000031,897a33de-edbe-45aa-a425-31297df747c4,sasb_10_Number_of_aviation_accidents,Transportation,Airlines,not_disclosed,,
gt_000032,897a33de-edbe-45aa-a425-31297df747c4,sasb_11_Number_of_governmental_enforcement_actions_of_avia,Transportation,Airlines,not_disclosed,,
gt_000033,897a33de-edbe-45aa-a425-31297df747c4,sasb_12_Available_seat_kilometres_ASK3,Transportation,Airlines,not_disclosed,,
gt_000034,897a33de-edbe-45aa-a425-31297df747c4,sasb_13_Passenger_load_factor4,Transportation,Airlines,not_disclosed,,
gt_000035,897a33de-edbe-45aa-a425-31297df747c4,sasb_14_Revenue_passenger_kilometres_RPK5,Transportation,Airlines,not_disclosed,,
gt_000036,897a33de-edbe-45aa-a425-31297df747c4,sasb_15_Revenue_tonne-kilometres_RTK6,Transportation,Airlines,not_disclosed,,
