run_id,report_id,method,ablation,industry,sub_industry,scope_key,total_preprocess_runtime_seconds,timestamp
ddc832e5-87a0-4873-89b2-cc7b523c0436,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,M1,A0,Transportation,Automobiles,Automobiles,28.742120829999294,2026-03-31T17:23:06.250091+11:00
98dd9a7b-4573-4f06-bdbf-a25de000685f,1d223dc1-ae3e-4c78-83e0-0a1329e528e0,M0,,Transportation,Automobiles,Automobiles,0.21242297299977508,2026-03-31T17:31:19.594351+11:00
71ff7d30-92fa-4121-9ec6-1ded816442c0,897a33de-edbe-45aa-a425-31297df747c4,M1,A0,Transportation,Airlines,Airlines,1081.5455689819992,2026-03-31T18:01:14.427600+11:00
7ee38004-ce04-4420-8175-a93aebfdacda,897a33de-edbe-45aa-a425-31297df747c4,M0,,Transportation,Airlines,Airlines,0.36210771199876035,2026-03-31T18:06:03.319457+11:00
b3d5972b-060b-445b-8809-22c96ce53028,307280f5-f615-4b1a-ae47-c0f04eb55bf6,M1,A0,Transportation,Marine Transportation,Marine Transportation,1334.0993135319986,2026-03-31T19:06:44.325956+11:00
e488f272-24f8-4401-8709-a5b5f4812c3e,307280f5-f615-4b1a-ae47-c0f04eb55bf6,M0,,Transportation,Marine Transportation,Marine Transportation,0.9392591100004211,2026-03-31T19:34:55.872461+11:00
bc46ea31-3f57-41e5-a451-346dabf2dc91,848186d8-7a5e-42ce-b587-698c5e71533f,M1,A0,Technology & Communications,Hardware,Hardware,133.23115710699858,2026-03-31T20:29:44.657748+11:00
22a2281e-6801-4160-8a8e-9cb503d6dfc1,848186d8-7a5e-42ce-b587-698c5e71533f,M0,,Technology & Communications,Hardware,Hardware,0.9491294990002643,2026-03-31T21:06:44.833026+11:00
80b8d9b7-ad14-4e31-9875-70ce9bd33309,f25a601b-2967-4668-8345-15d9e7555cab,M1,A0,Technology & Communications,Software & IT Services,Software & IT Services,88.94598221800334,2026-03-31T21:20:09.525834+11:00
a32c3249-4933-4c06-8a2f-e7c946a60a1d,f25a601b-2967-4668-8345-15d9e7555cab,M0,,Technology & Communications,Software & IT Services,Software & IT Services,2.3024128440010827,2026-03-31T21:51:22.425586+11:00
85d55f56-cde5-4c46-8a37-a9c8fd62374b,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,M1,A0,Services,Professional & Commercial Services,Professional & Commercial Services,102.29112961600185,2026-03-31T22:36:11.680150+11:00
